record_id,product_id,product_name,category,store_id,region,supplier_id,transaction_date,expiration_date,shelf_life_days,days_remaining_at_purchase,storage_temp,temp_deviation,base_price,cost_price,initial_quantity,spoilage_sensitivity,day_of_week,is_weekend,month,daily_demand,demand_variability,temp_abuse_events,distribution_hours,handling_score,packaging_score,spoilage_risk,was_spoiled,quality_grade,days_until_expiry,markdown_applied,discount_pct,selling_price,units_sold,units_wasted,waste_pct,revenue,waste_cost,profit,profit_margin_pct,supplier_score,is_promoted,mapped_shelf_life,life_ratio,mapped_ideal_temp,temp_diff
23,DAI_COT_421,Cottage Cheese,Dairy,STORE_031,Midwest,SUPPLIER_17,2023-02-28,2023-03-04,6,4,4.1,0.1,11.19,6.26,39,0.7,1,0,2,7,0.45,0,63.4,7,5,0.26,0,B,2,1,0.27,8.17,20,19,48.7,163.4,118.94,-80.74,-49.4,9,0,17.5,0.11428571428571428,4.0,0.09999999999999964
24,PHA_INS_971,Insulin,Pharmaceuticals,STORE_044,Northeast,SUPPLIER_08,2023-07-10,2023-10-14,100,96,2.2,2.8,210.83,143.89,301,0.85,0,0,7,5,0.29,2,36.6,10,7,0.188,0,A,94,0,0.0,210.83,301,0,0.0,63459.83,0.0,20148.94,31.8,9,0,381.6,0.24633123689727462,5.0,-2.8
25,PRO_BER_708,Berries,Produce,STORE_043,Midwest,SUPPLIER_19,2023-02-10,2023-02-14,5,4,6.9,1.1,4.96,2.45,143,0.6,4,0,2,42,0.41,0,70.6,6,6,0.25,1,B,2,1,0.26,3.67,98,45,31.5,359.66,110.25,9.31,2.6,10,0,12.0,0.16666666666666666,8.0,-1.0999999999999996
26,PRO_AVO_833,Avocados,Produce,STORE_026,West,SUPPLIER_05,2023-11-18,2023-11-26,10,8,8.2,0.2,5.7,2.79,171,0.6,5,1,11,34,0.44,0,30.4,6,9,0.152,0,B,7,0,0.0,5.7,171,0,0.0,974.7,0.0,497.61,51.1,10,1,12.0,0.5833333333333334,8.0,0.1999999999999993
29,PHA_INS_783,Insulin,Pharmaceuticals,STORE_007,Northeast,SUPPLIER_05,2024-07-21,2025-03-30,336,252,3.8,1.2,143.27,95.55,390,0.85,6,1,7,0,0.4,0,48.8,4,10,0.196,0,B,252,0,0.0,143.27,0,390,100.0,0.0,37264.5,-37264.5,0.0,10,0,381.6,0.660377358490566,5.0,-1.2000000000000002
30,PHA_VAC_378,Vaccines,Pharmaceuticals,STORE_046,West,SUPPLIER_11,2023-10-16,2025-06-03,649,596,4.4,0.6,113.74,67.14,145,0.85,0,0,10,0,0.38,0,69.8,4,8,0.219,0,B,594,0,0.0,113.74,0,145,100.0,0.0,9735.3,-9735.3,0.0,6,0,381.6,1.5566037735849056,5.0,-0.5999999999999996
31,PHA_PRO_357,Probiotics,Pharmaceuticals,STORE_028,Northeast,SUPPLIER_09,2023-02-22,2023-05-17,124,84,3.8,1.2,36.38,18.19,76,0.85,2,0,2,1,0.21,1,57.3,8,9,0.191,0,A,81,0,0.0,36.38,76,0,0.0,2764.88,0.0,1382.44,50.0,8,1,381.6,0.2122641509433962,5.0,-1.2000000000000002
32,BAK_PAS_859,Pastries,Bakery,STORE_028,Northeast,SUPPLIER_18,2024-03-28,2024-04-01,6,4,23.7,3.7,2.13,0.9,462,0.5,3,0,3,134,0.1,2,55.0,8,8,0.21,0,A,2,1,0.24,1.62,343,119,25.8,555.66,107.1,139.86,25.2,8,0,4.5,0.4444444444444444,20.0,3.6999999999999993
36,FRO_ICE_373,Ice Cream,Frozen_Meals,STORE_003,Midwest,SUPPLIER_16,2023-06-13,2023-09-12,115,91,-22.4,2.4,7.56,4.88,245,0.3,1,0,6,2,0.23,2,10.6,6,7,0.181,0,B,89,0,0.0,7.56,160,85,34.7,1209.6,414.8,14.0,1.2,10,0,212.3,0.41921808761186996,-20.0,-2.3999999999999986
37,DEL_SAL_940,Salami,Deli,STORE_043,Midwest,SUPPLIER_07,2023-08-22,2023-08-28,6,6,4.4,0.4,9.58,4.63,45,0.75,1,0,8,8,0.35,0,55.9,7,7,0.185,0,B,4,0,0.0,9.58,35,10,22.2,335.3,46.3,126.95,37.9,9,0,8.5,0.47058823529411764,4.0,0.40000000000000036
38,BAK_CAK_756,Cakes,Bakery,STORE_002,Northeast,SUPPLIER_04,2024-06-05,2024-06-09,5,4,16.1,3.9,13.4,6.41,307,0.5,2,0,6,100,0.33,1,13.6,9,5,0.223,0,B,4,0,0.0,13.4,307,0,0.0,4113.8,0.0,2145.93,52.2,9,0,4.5,0.8888888888888888,20.0,-3.8999999999999986
39,BAK_BRE_211,Bread,Bakery,STORE_047,Northeast,SUPPLIER_11,2024-09-02,2024-09-06,5,4,17.3,2.7,7.67,5.33,69,0.5,0,0,9,15,0.24,0,59.2,7,6,0.243,0,B,2,1,0.28,5.52,34,35,50.7,187.68,186.55,-180.09,-96.0,6,0,4.5,0.4444444444444444,20.0,-2.6999999999999993
40,FRO_FRO_294,Frozen Desserts,Frozen_Meals,STORE_028,Northeast,SUPPLIER_01,2023-09-18,2023-11-17,82,60,-19.6,0.4,12.32,7.91,361,0.3,0,0,9,8,0.44,0,39.0,6,6,0.212,0,B,57,0,0.0,12.32,361,0,0.0,4447.52,0.0,1592.01,35.8,7,0,212.3,0.26848798869524254,-20.0,0.3999999999999986
41,PRO_BAN_541,Bananas,Produce,STORE_021,Southeast,SUPPLIER_04,2023-03-13,2023-03-22,13,9,9.5,1.5,6.04,2.96,168,0.6,0,0,3,16,0.46,0,38.7,5,9,0.193,0,B,6,0,0.0,6.04,121,47,28.0,730.84,139.12,233.56,32.0,9,0,12.0,0.5,8.0,1.5
42,FRO_FRO_512,Frozen Vegetables,Frozen_Meals,STORE_009,Northeast,SUPPLIER_07,2024-12-14,2025-05-04,211,141,-19.7,0.3,10.73,7.32,356,0.3,5,1,12,1,0.22,0,58.2,9,9,0.137,0,A,138,0,0.0,10.73,101,255,71.6,1083.73,1866.6,-1522.19,-140.5,9,1,212.3,0.6500235515779557,-20.0,0.3000000000000007
43,SEA_CRA_682,Crab,Seafood,STORE_020,West,SUPPLIER_10,2023-11-05,2023-11-10,5,5,-0.2,0.2,15.78,10.03,320,0.95,6,1,11,124,0.5,0,63.2,6,7,0.198,0,B,2,1,0.18,12.94,272,48,15.0,3519.68,481.44,310.08,8.8,8,0,4.5,0.4444444444444444,0.0,-0.2
44,DEL_PRE_552,Prepared Salads,Deli,STORE_033,Southeast,SUPPLIER_16,2024-03-28,2024-04-09,13,12,3.4,0.6,15.11,10.39,386,0.75,3,0,3,44,0.39,2,41.5,10,5,0.196,1,B,11,0,0.0,15.11,270,116,30.1,4079.7,1205.24,69.16,1.7,10,0,8.5,1.2941176470588236,4.0,-0.6000000000000001
45,SEA_LOB_186,Lobster,Seafood,STORE_041,Midwest,SUPPLIER_20,2023-10-18,2023-10-22,6,4,-3.0,3.0,20.4,13.17,394,0.95,2,0,10,86,0.21,1,41.4,9,5,0.293,1,B,1,1,0.41,12.04,167,227,57.6,2010.68,2989.59,-3178.3,-158.1,9,1,4.5,0.2222222222222222,0.0,-3.0
46,PRO_AVO_417,Avocados,Produce,STORE_002,Northeast,SUPPLIER_02,2023-08-19,2023-08-27,9,8,6.6,1.4,2.71,1.47,445,0.6,5,1,8,118,0.23,0,30.1,5,7,0.208,0,B,5,0,0.0,2.71,445,0,0.0,1205.95,0.0,551.8,45.8,7,1,12.0,0.4166666666666667,8.0,-1.4000000000000004
48,DAI_SOU_981,Sour Cream,Dairy,STORE_015,Southeast,SUPPLIER_06,2023-04-20,2023-05-13,29,23,6.1,2.1,10.04,6.11,247,0.7,3,0,4,18,0.36,0,15.9,7,8,0.182,0,B,21,0,0.0,10.04,247,0,0.0,2479.88,0.0,970.71,39.1,8,0,17.5,1.2,4.0,2.0999999999999996
49,DAI_CRE_355,Cream,Dairy,STORE_030,Southwest,SUPPLIER_17,2023-05-05,2023-05-23,19,18,4.7,0.7,11.88,6.87,496,0.7,4,0,5,38,0.18,0,34.7,4,10,0.149,0,B,16,0,0.0,11.88,496,0,0.0,5892.48,0.0,2484.96,42.2,9,0,17.5,0.9142857142857143,4.0,0.7000000000000002
50,BEV_MIL_934,Milk Alternatives,Beverages,STORE_036,Northeast,SUPPLIER_15,2024-05-31,2024-06-14,20,14,1.5,3.5,9.18,5.72,253,0.4,4,0,5,15,0.23,2,55.9,5,9,0.205,0,B,13,0,0.0,9.18,202,51,20.2,1854.36,291.72,407.2,22.0,6,1,18.5,0.7027027027027027,5.0,-3.5
51,BEV_KOM_869,Kombucha,Beverages,STORE_050,West,SUPPLIER_17,2023-09-11,2023-10-04,27,23,5.6,0.6,5.88,2.77,235,0.4,0,0,9,12,0.5,0,71.8,9,7,0.184,0,A,21,0,0.0,5.88,235,0,0.0,1381.8,0.0,730.85,52.9,9,0,18.5,1.135135135135135,5.0,0.5999999999999996
52,MEA_GRO_392,Ground Beef,Meat,STORE_021,Southeast,SUPPLIER_18,2023-08-29,2023-09-04,7,6,0.2,0.8,6.61,2.94,206,0.9,1,0,8,32,0.49,0,14.8,7,7,0.184,1,B,6,0,0.0,6.61,144,62,30.1,951.84,182.28,346.2,36.4,8,1,6.5,0.9230769230769231,1.0,-0.8
54,FRO_FRO_888,Frozen Dinners,Frozen_Meals,STORE_025,Southwest,SUPPLIER_16,2024-08-21,2024-10-12,70,52,-18.8,1.2,4.09,2.07,395,0.3,2,0,8,12,0.27,0,45.6,5,8,0.19,0,B,52,0,0.0,4.09,395,0,0.0,1615.55,0.0,797.9,49.4,10,0,212.3,0.24493641073951952,-20.0,1.1999999999999993
56,FRO_ICE_960,Ice Cream,Frozen_Meals,STORE_035,Midwest,SUPPLIER_01,2024-04-23,2024-07-18,125,86,-18.1,1.9,18.51,10.69,349,0.3,1,0,4,0,0.43,0,53.9,7,10,0.143,0,A,83,0,0.0,18.51,0,349,100.0,0.0,3730.81,-3730.81,0.0,7,0,212.3,0.3909561940650023,-20.0,1.8999999999999986
57,DAI_MIL_758,Milk,Dairy,STORE_012,Northeast,SUPPLIER_02,2024-03-14,2024-03-20,9,6,2.3,1.7,4.6,2.29,242,0.7,3,0,3,30,0.4,1,51.7,9,5,0.255,1,B,4,0,0.0,4.6,113,129,53.3,519.8,295.41,-34.38,-6.6,7,0,17.5,0.22857142857142856,4.0,-1.7000000000000002
58,DEL_SAL_879,Salami,Deli,STORE_017,West,SUPPLIER_03,2024-01-24,2024-01-30,7,6,3.4,0.6,10.58,6.61,36,0.75,2,0,1,8,0.31,0,11.5,7,7,0.173,0,B,6,0,0.0,10.58,36,0,0.0,380.88,0.0,142.92,37.5,9,0,8.5,0.7058823529411765,4.0,-0.6000000000000001
59,DEL_TUR_765,Turkey Slices,Deli,STORE_049,Northeast,SUPPLIER_01,2023-03-12,2023-03-25,13,13,4.7,0.7,17.29,7.95,20,0.75,6,1,3,2,0.22,0,36.2,8,6,0.186,0,B,12,0,0.0,17.29,20,0,0.0,345.8,0.0,186.8,54.0,7,0,8.5,1.411764705882353,4.0,0.7000000000000002
60,REA_SAL_344,Salads,Ready_to_Eat,STORE_037,Northeast,SUPPLIER_07,2023-05-10,2023-05-14,4,4,6.0,2.0,11.05,5.27,198,0.9,2,0,5,71,0.45,0,69.5,6,8,0.214,0,B,4,0,0.0,11.05,198,0,0.0,2187.9,0.0,1144.44,52.3,9,1,3.0,1.3333333333333333,4.0,2.0
61,SEA_CRA_721,Crab,Seafood,STORE_007,Northeast,SUPPLIER_19,2023-04-28,2023-04-30,3,2,-1.0,1.0,8.95,4.42,356,0.95,4,0,4,199,0.34,0,63.4,6,9,0.221,0,B,1,1,0.25,6.71,241,115,32.3,1617.11,508.3,43.59,2.7,10,0,4.5,0.2222222222222222,0.0,-1.0
62,FRO_FRO_832,Frozen Dinners,Frozen_Meals,STORE_007,Northeast,SUPPLIER_10,2023-07-23,2023-10-14,98,83,-20.4,0.4,17.6,10.21,71,0.3,6,1,7,3,0.44,1,68.4,8,5,0.227,0,B,80,0,0.0,17.6,71,0,0.0,1249.6,0.0,524.69,42.0,8,0,212.3,0.3768252472915685,-20.0,-0.3999999999999986
63,REA_SAN_455,Sandwiches,Ready_to_Eat,STORE_005,Southeast,SUPPLIER_17,2024-06-29,2024-07-02,4,3,1.8,2.2,13.42,5.42,225,0.9,5,1,6,104,0.48,2,58.4,9,8,0.214,0,A,1,1,0.33,8.99,126,99,44.0,1132.74,536.58,-86.76,-7.7,9,0,3.0,0.3333333333333333,4.0,-2.2
64,BEV_FRE_543,Fresh Juice,Beverages,STORE_046,West,SUPPLIER_05,2024-01-06,2024-01-26,27,20,2.6,2.4,5.48,3.4,343,0.4,5,1,1,15,0.49,1,50.2,9,8,0.17,0,A,17,0,0.0,5.48,246,97,28.3,1348.08,329.8,181.88,13.5,10,1,18.5,0.918918918918919,5.0,-2.4
65,BAK_CRO_927,Croissants,Bakery,STORE_028,Northeast,SUPPLIER_19,2024-07-05,2024-07-09,5,4,21.6,1.6,5.49,3.6,435,0.5,4,0,7,135,0.48,0,42.2,6,8,0.19,1,B,2,1,0.21,4.34,304,131,30.1,1319.36,471.6,-246.64,-18.7,10,0,4.5,0.4444444444444444,20.0,1.6000000000000014
66,MEA_POR_561,Pork,Meat,STORE_022,West,SUPPLIER_01,2023-09-07,2023-09-14,10,7,3.7,2.7,14.89,7.41,259,0.9,3,0,9,32,0.32,3,51.7,5,10,0.225,1,B,5,0,0.0,14.89,181,78,30.1,2695.09,577.98,775.9,28.8,7,0,6.5,0.7692307692307693,1.0,2.7
67,PRO_BAN_916,Bananas,Produce,STORE_039,Northeast,SUPPLIER_09,2023-09-22,2023-10-03,13,11,7.9,0.1,4.89,2.71,107,0.6,4,0,9,18,0.23,0,32.5,5,8,0.178,0,B,8,0,0.0,4.89,107,0,0.0,523.23,0.0,233.26,44.6,8,0,12.0,0.6666666666666666,8.0,-0.09999999999999964
68,MEA_CHI_837,Chicken,Meat,STORE_045,Southwest,SUPPLIER_16,2024-02-21,2024-03-01,10,9,3.0,2.0,17.92,9.81,415,0.9,2,0,2,77,0.24,2,33.2,9,5,0.233,0,B,8,0,0.0,17.92,415,0,0.0,7436.8,0.0,3365.65,45.3,10,1,6.5,1.2307692307692308,1.0,2.0
69,DAI_MIL_401,Milk,Dairy,STORE_016,Southeast,SUPPLIER_10,2023-08-15,2023-08-27,17,12,4.7,0.7,8.64,4.41,293,0.7,1,0,8,31,0.33,1,25.4,4,8,0.208,0,B,10,0,0.0,8.64,293,0,0.0,2531.52,0.0,1239.39,49.0,8,0,17.5,0.5714285714285714,4.0,0.7000000000000002
70,PHA_ANT_535,Antibiotics,Pharmaceuticals,STORE_045,Southwest,SUPPLIER_15,2024-07-17,2025-06-05,368,323,3.7,1.3,146.39,69.6,71,0.85,2,0,7,1,0.1,0,28.4,4,10,0.167,0,B,322,0,0.0,146.39,71,0,0.0,10393.69,0.0,5452.09,52.5,6,0,381.6,0.8438155136268344,5.0,-1.2999999999999998
71,PRO_BAN_222,Bananas,Produce,STORE_014,Northeast,SUPPLIER_16,2024-07-02,2024-07-10,8,8,8.7,0.7,2.94,1.7,399,0.6,1,0,7,81,0.14,0,35.8,7,6,0.193,0,B,7,0,0.0,2.94,399,0,0.0,1173.06,0.0,494.76,42.2,10,0,12.0,0.5833333333333334,8.0,0.6999999999999993
73,SEA_TUN_146,Tuna,Seafood,STORE_045,Southwest,SUPPLIER_05,2023-02-25,2023-03-02,6,5,-0.1,0.1,31.6,19.78,62,0.95,5,1,2,19,0.39,0,14.6,7,9,0.136,0,A,4,0,0.0,31.6,62,0,0.0,1959.2,0.0,732.84,37.4,10,1,4.5,0.8888888888888888,0.0,-0.1
75,BEV_FRE_941,Fresh Juice,Beverages,STORE_005,Southeast,SUPPLIER_19,2023-03-08,2023-03-24,19,16,-0.2,5.2,7.04,2.93,86,0.4,2,0,3,6,0.33,2,65.1,8,10,0.166,0,A,14,0,0.0,7.04,86,0,0.0,605.44,0.0,353.46,58.4,10,0,18.5,0.7567567567567568,5.0,-5.2
76,REA_SUS_187,Sushi,Ready_to_Eat,STORE_039,Northeast,SUPPLIER_20,2023-09-12,2023-09-12,1,0,5.6,1.6,15.28,7.15,277,0.9,1,0,9,360,0.36,0,71.9,5,5,0.414,1,C,0,1,0.72,4.28,193,84,30.3,826.04,600.6,-1154.51,-139.8,9,0,3.0,0.0,4.0,1.5999999999999996
78,MEA_SAU_312,Sausages,Meat,STORE_043,Midwest,SUPPLIER_03,2024-10-02,2024-10-07,6,5,0.4,0.6,8.14,3.68,48,0.9,2,0,10,12,0.46,0,28.3,5,9,0.173,0,B,3,0,0.0,8.14,42,6,12.5,341.88,22.08,165.24,48.3,9,1,6.5,0.46153846153846156,1.0,-0.6
79,SEA_SAL_518,Salmon,Seafood,STORE_031,Midwest,SUPPLIER_10,2024-04-06,2024-04-11,7,5,0.2,0.2,9.21,4.48,154,0.95,5,1,4,57,0.17,0,46.7,7,8,0.197,0,B,4,0,0.0,9.21,154,0,0.0,1418.34,0.0,728.42,51.4,8,0,4.5,0.8888888888888888,0.0,0.2
80,BEV_FRE_803,Fresh Juice,Beverages,STORE_038,Southwest,SUPPLIER_07,2023-08-28,2023-09-07,15,10,1.0,4.0,5.4,3.04,341,0.4,0,0,8,60,0.22,5,15.1,6,5,0.252,1,C,8,1,0.25,4.05,238,103,30.2,963.9,313.12,-72.74,-7.5,9,0,18.5,0.43243243243243246,5.0,-4.0
81,SEA_TUN_946,Tuna,Seafood,STORE_011,Southwest,SUPPLIER_10,2023-05-26,2023-05-28,2,2,-0.4,0.4,30.02,19.43,481,0.95,4,0,5,394,0.1,0,24.9,6,10,0.115,0,A,1,0,0.0,30.02,360,121,25.2,10807.2,2351.03,1461.37,13.5,8,0,4.5,0.2222222222222222,0.0,-0.4
82,BAK_MUF_227,Muffins,Bakery,STORE_045,Southwest,SUPPLIER_13,2024-04-24,2024-04-30,7,6,20.7,0.7,14.25,7.84,262,0.5,2,0,4,54,0.24,2,12.7,5,8,0.167,0,B,5,0,0.0,14.25,194,68,26.0,2764.5,533.12,710.42,25.7,10,0,4.5,1.1111111111111112,20.0,0.6999999999999993
83,BEV_FRE_712,Fresh Juice,Beverages,STORE_021,Southeast,SUPPLIER_20,2023-02-10,2023-02-25,20,15,8.0,3.0,4.0,1.71,355,0.4,4,0,2,16,0.18,2,17.5,6,7,0.201,0,B,13,0,0.0,4.0,155,200,56.3,620.0,342.0,12.95,2.1,9,0,18.5,0.7027027027027027,5.0,3.0
87,MEA_POR_358,Pork,Meat,STORE_033,Southeast,SUPPLIER_01,2023-11-28,2023-12-01,4,3,2.8,1.8,18.15,10.21,221,0.9,1,0,11,84,0.24,3,30.7,6,10,0.177,0,A,1,1,0.25,13.61,156,65,29.4,2123.16,663.65,-133.25,-6.3,7,0,6.5,0.15384615384615385,1.0,1.7999999999999998
89,SEA_TUN_548,Tuna,Seafood,STORE_002,Northeast,SUPPLIER_20,2024-12-16,2024-12-21,5,5,-1.1,1.1,37.57,23.03,169,0.95,0,0,12,57,0.4,0,33.1,10,5,0.194,0,B,2,1,0.26,27.8,127,42,24.9,3530.6,967.26,-361.47,-10.2,9,1,4.5,0.4444444444444444,0.0,-1.1
90,PHA_INS_665,Insulin,Pharmaceuticals,STORE_008,West,SUPPLIER_15,2024-02-22,2024-06-12,125,111,6.0,1.0,474.32,281.89,88,0.85,3,0,2,1,0.46,1,42.7,10,9,0.131,0,A,109,0,0.0,474.32,88,0,0.0,41740.16,0.0,16933.84,40.6,6,0,381.6,0.2856394129979036,5.0,1.0
91,BEV_KOM_621,Kombucha,Beverages,STORE_031,Midwest,SUPPLIER_16,2024-12-23,2025-01-04,15,12,5.2,0.2,3.95,2.23,206,0.4,0,0,12,10,0.34,0,44.9,8,7,0.175,0,B,10,0,0.0,3.95,108,98,47.6,426.6,218.54,-32.78,-7.7,10,0,18.5,0.5405405405405406,5.0,0.20000000000000018
92,PRO_BER_620,Berries,Produce,STORE_050,West,SUPPLIER_14,2023-05-20,2023-05-24,5,4,9.9,1.9,3.38,2.15,146,0.6,5,1,5,70,0.32,1,50.3,8,7,0.206,1,B,4,0,0.0,3.38,102,44,30.1,344.76,94.6,30.86,9.0,6,0,12.0,0.3333333333333333,8.0,1.9000000000000004
93,DAI_YOG_843,Yogurt,Dairy,STORE_010,West,SUPPLIER_15,2023-11-02,2023-11-18,23,16,2.6,1.4,7.39,3.72,292,0.7,3,0,11,15,0.41,0,16.1,9,6,0.203,0,B,14,0,0.0,7.39,160,132,45.2,1182.4,491.04,96.16,8.1,6,0,17.5,0.8,4.0,-1.4
94,PHA_PRO_566,Probiotics,Pharmaceuticals,STORE_037,Northeast,SUPPLIER_13,2023-11-26,2024-06-06,223,193,4.3,0.7,128.28,81.16,32,0.85,6,1,11,3,0.5,0,43.2,8,10,0.129,0,A,191,0,0.0,128.28,32,0,0.0,4104.96,0.0,1507.84,36.7,10,1,381.6,0.500524109014675,5.0,-0.7000000000000002
96,REA_SUS_990,Sushi,Ready_to_Eat,STORE_034,Southeast,SUPPLIER_15,2023-04-13,2023-04-17,4,4,1.1,2.9,5.2,2.3,455,0.9,3,0,4,218,0.28,1,11.2,8,5,0.23,1,B,3,0,0.0,5.2,318,137,30.1,1653.6,315.1,607.1,36.7,6,0,3.0,1.0,4.0,-2.9
